scenario,fold,model,train_rows,calibration_rows,validation_rows,test_rows,accuracy,brier,log_loss,roc_auc,ece,realized_positive_rate,predicted_positive_rate,net_return,passive_return,passive_gross_return,annualized_volatility,sharpe,max_drawdown,turnover,trading_cost,average_exposure,entries,cost_multiplier,threshold
naive,11,catboost,6460,359,360,360,0.475,0.25051143746501636,0.6941701676534028,0.5383829945233454,0.03459074526570338,0.475,0.5095907452657034,-0.08160510882440297,-0.22298330944751932,-0.21909073196077133,0.14351677435476912,-3.536124408869104,-0.10715402857526413,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
timesfm,0,trend,2500,359,360,360,,,,,,,,-0.02018400233570128,0.021292619376455768,0.02636637290102506,0.07600478837973888,-1.5939797292493414,-0.04770189681477932,2.0999999999999996,0.0052499999999999995,0.09625,3.0,1.0,
timesfm,0,prior,2500,359,360,360,0.5388888888888889,0.24871905952864357,0.6905838019092465,0.5,0.01521200866604766,0.5388888888888889,0.5236768802228412,0.0,0.021292619376455768,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
timesfm,0,ridge_logistic,2500,359,360,360,0.5388888888888889,0.24823960165456663,0.6896187873910169,0.5120171407278599,0.004248507977466454,0.5388888888888889,0.5346403809114224,0.0,0.021292619376455768,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
timesfm,0,lightgbm,2500,359,360,360,0.5388888888888889,0.2487525654204934,0.6906509618568372,0.461837038877158,0.015330752874143316,0.5388888888888889,0.5235581360147455,0.0,0.021292619376455768,0.02636637290102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
timesfm,0,catboost,2500,359,360,360,0.5472222222222223,0.2476736347089635,0.6884957494105757,0.5405850204943485,0.018559650711129506,0.5388888888888889,0.5306649824745703,-0.0763888217457338,0.021292619376455768,0.02636637290102506,0.0848504156280784,-5.653980865008235,-0.08056277571986625,30.675010816205635,0.0766875270405141,0.054096972390790456,44.0,1.0,0.55
timesfm,1,trend,2860,359,360,360,,,,,,,,0.030615570217227717,0.19897440625922647,0.20501766784452347,0.0849959382948778,2.2008779686105413,-0.022236932562325507,2.0999999999999996,0.0052499999999999995,0.1701388888888889,3.0,1.0,
timesfm,1,prior,2860,359,360,360,0.5166666666666667,0.24972429346968647,0.6925956697291985,0.5,0.0014391829155060432,0.5166666666666667,0.5181058495821728,0.0,0.19897440625922647,0.20501766784452347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
timesfm,1,ridge_logistic,2860,359,360,360,0.5166666666666667,0.25065290047544664,0.6944636740968945,0.5130700778642937,0.029305336282087646,0.5166666666666667,0.5459720029487544,-0.0036062052575520642,0.19897440625922647,0.20501766784452347,0.08809879739783491,-0.20547033843023674,-0.032666148252066485,30.799999999999997,0.077,0.11374999999999999,44.0,1.0,0.55
timesfm,1,lightgbm,2860,359,360,360,0.48333333333333334,0.25032717397221776,0.6938000210262028,0.4881967618341367,0.036073466906501726,0.5166666666666667,0.5175498245319546,-0.03683193884810865,0.19897440625922647,0.20501766784452347,0.028840305923065766,-7.900837294819573,-0.03744631519156494,10.5,0.026249999999999996,0.014583333333333334,15.0,1.0,0.55
timesfm,1,catboost,2860,359,360,360,0.49166666666666664,0.25175298114520755,0.6966515048574935,0.48442714126807557,0.04624478019505907,0.5166666666666667,0.5180199888914884,-0.007886110922777467,0.19897440625922647,0.20501766784452347,0.014556983882362396,-3.301340523081533,-0.009222671463269827,4.8999999999999995,0.012249999999999999,0.0077777777777777776,7.0,1.0,0.6
timesfm,2,trend,3220,359,360,360,,,,,,,,0.054930426874193916,0.4320599426851741,0.43921177643539866,0.13510176862268614,2.4754855182876745,-0.05399131002562252,2.0999999999999996,0.0052499999999999995,0.16138888888888892,3.0,1.0,
timesfm,2,prior,3220,359,360,360,0.5388888888888889,0.24853465168988792,0.6902138728716477,0.5,0.00685546270504489,0.5388888888888889,0.532033426183844,0.14090223854827455,0.4320599426851741,0.43921177643539866,0.20054551584093241,4.099385875799123,-0.049795056841904106,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
timesfm,2,ridge_logistic,3220,359,360,360,0.5527777777777778,0.24851192998668137,0.6901820272963785,0.5407713327536952,0.036667135766151014,0.5388888888888889,0.5131071251948993,-0.008800313815815697,0.4320599426851741,0.43921177643539866,0.050954307045197184,-1.0298292202687247,-0.02528546450450908,8.399999999999999,0.020999999999999998,0.02236111111111111,12.0,1.0,0.55
timesfm,2,lightgbm,3220,359,360,360,0.475,0.2533396793763191,0.6998630267625453,0.4924233014532356,0.06424581731442144,0.5388888888888889,0.48313531911370244,-0.09791513668355678,0.4320599426851741,0.43921177643539866,0.12934442717348174,-4.781082849915244,-0.10705679383502342,35.0,0.0875,0.12930555555555556,50.0,1.0,0.5
timesfm,2,catboost,3220,359,360,360,0.49722222222222223,0.2535512628210529,0.7003421729787586,0.5130108061110421,0.06706594412385254,0.5388888888888889,0.47519145969448906,-0.007927084363865577,0.4320599426851741,0.43921177643539866,0.017511706388939372,-2.755908876415485,-0.007927084363865577,0.7,0.0017499999999999998,0.0009722222222222222,1.0,1.0,0.6
timesfm,3,trend,3580,359,360,360,,,,,,,,-0.0153270104687806,-0.11991136821814041,-0.1154849225753869,0.10567858201566041,-0.8363019638733967,-0.030417354007000297,1.4,0.0034999999999999996,0.07583333333333334,2.0,1.0,
timesfm,3,prior,3580,359,360,360,0.5166666666666667,0.24972429346968647,0.6925956697291985,0.5,0.0014391829155060432,0.5166666666666667,0.5181058495821728,-0.03754066677043466,-0.11991136821814041,-0.1154849225753869,0.20953184899432303,-1.0061816803720756,-0.10060223462646267,0.7030678874577291,0.0017576697186443228,0.3495106001667053,1.0,1.0,0.5
timesfm,3,ridge_logistic,3580,359,360,360,0.5166666666666667,0.24969161315174274,0.6925302220872555,0.5398900012359411,0.0018093066524711432,0.5166666666666667,0.5184759733191379,-0.03754066677043466,-0.11991136821814041,-0.1154849225753869,0.20953184899432303,-1.0061816803720756,-0.10060223462646267,0.7030678874577291,0.0017576697186443228,0.3495106001667053,1.0,1.0,0.5
timesfm,3,lightgbm,3580,359,360,360,0.5333333333333333,0.2492126091067777,0.6915719472375741,0.5547212952663454,0.02241522250842679,0.5166666666666667,0.5104246320398425,-0.07623573952840612,-0.11991136821814041,-0.1154849225753869,0.2006010869848421,-2.3042573963627437,-0.12094969845414882,15.403067887457727,0.03850766971864432,0.32423282238892753,22.0,1.0,0.5
timesfm,3,catboost,3580,359,360,360,0.5111111111111111,0.252436251023284,0.6981438864740702,0.5280558645408479,0.05773659083029383,0.5166666666666667,0.4729180719846279,-0.036250675886744355,-0.11991136821814041,-0.1154849225753869,0.046393333914160034,-4.818190366173579,-0.036250675886744355,12.571121415877474,0.03142780353969368,0.024100368959332676,18.0,1.0,0.55
timesfm,4,trend,3940,359,360,360,,,,,,,,0.01642319219199795,0.09746938674218608,0.1029554040357501,0.062040376113470644,1.6283159652843764,-0.016761895094546952,1.4,0.0034999999999999996,0.09722222222222222,2.0,1.0,
timesfm,4,prior,3940,359,360,360,0.5083333333333333,0.2509581836474474,0.6950712996299684,0.5,0.03205663881151344,0.5083333333333333,0.5403899721448467,0.0,0.09746938674218608,0.1029554040357501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65
timesfm,4,ridge_logistic,3940,359,360,360,0.5083333333333333,0.2504323431803452,0.6940118292560826,0.5131054922663703,0.02897545326160178,0.5083333333333333,0.5373087865949351,0.008060273305465326,0.09746938674218608,0.1029554040357501,0.07975131682227596,0.6520407461808678,-0.0389866448596925,8.235509354876235,0.020588773387190586,0.020819441387055132,12.0,1.0,0.55
timesfm,4,lightgbm,3940,359,360,360,0.5083333333333333,0.2512348876737,0.6956293324659306,0.4772930752369486,0.035137535260427843,0.5083333333333333,0.5434708685937611,-0.06946821513655888,0.09746938674218608,0.1029554040357501,0.09448091670527468,-4.588343975027278,-0.07862208406841498,34.942407461371076,0.08735601865342768,0.0765765208547357,50.0,1.0,0.55
timesfm,4,catboost,3940,359,360,360,0.5083333333333333,0.2508787272548713,0.6949131245979052,0.5152048408508536,0.030918409294193316,0.5083333333333333,0.5392517426275266,-0.029602107970224,0.09746938674218608,0.1029554040357501,0.0412826620501768,-4.40715552372348,-0.03241853322809607,13.965438576118526,0.03491359644029632,0.028146442466831286,20.0,1.0,0.55
timesfm,5,trend,4300,359,360,360,,,,,,,,-0.014890942719629319,0.12919564985141774,0.13486419598383326,0.073983992780204,-1.196630695353098,-0.04241902951871057,4.199999999999999,0.010499999999999999,0.12930555555555553,6.0,1.0,
timesfm,5,prior,4300,359,360,360,0.5,0.25032782178909224,0.6938032543827889,0.5,0.01810584958217276,0.5,0.5181058495821728,0.0458479316853877,0.12919564985141774,0.13486419598383326,0.1226419004238082,2.2850376092416838,-0.04067814886263499,0.7,0.0017499999999999998,0.35000000000000003,1.0,1.0,0.5
timesfm,5,ridge_logistic,4300,359,360,360,0.49444444444444446,0.25217642237454513,0.6975290218043466,0.4900925925925926,0.039061095091167466,0.5,0.5320820449025632,-0.09883507916390877,0.12919564985141774,0.13486419598383326,0.04884098940900481,-12.935603287337361,-0.09850095672120174,30.099999999999998,0.07524999999999998,0.06708333333333333,43.0,1.0,0.55
